"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"154",-113.99051964,46.87087347,"2020-08-19T19:55:21.000Z",1597845321,2,2,50121,1.26600003242493,1645.46900010109,-113.990082,46.8709175,113.99051964
"155",-113.990082,46.8709175,"2020-08-19T19:55:39.262Z",1597845339.262,2,2,50139.2620000839,18.2620000839233,1663.73100018501,-113.9898933,46.8707841,113.990082
"156",-113.9898933,46.8707841,"2020-08-19T19:56:01.087Z",1597845361.087,2,2,50161.0869998932,21.8249998092651,1685.55599999428,-113.9897511,46.8703514,113.9898933
"157",-113.9897511,46.8703514,"2020-08-19T19:56:19.847Z",1597845379.847,2,2,50179.8469998837,18.7599999904633,1704.31599998474,-113.98884822,46.869927,113.9897511
"158",-113.98884822,46.869927,"2020-08-19T19:57:06.000Z",1597845426,2,2,50226,46.1530001163483,1750.46900010109,-113.9890636,46.8697232,113.98884822
"159",-113.9890636,46.8697232,"2020-08-19T19:57:24.754Z",1597845444.754,2,2,50244.7539999485,18.7539999485016,1769.22300004959,-113.98899223,46.86999331,113.9890636
"160",-113.98899223,46.86999331,"2020-08-19T19:57:26.000Z",1597845446,2,2,50246,1.24600005149841,1770.46900010109,-113.9880688,46.8696301,113.98899223
"161",-113.9880688,46.8696301,"2020-08-19T19:58:04.241Z",1597845484.241,2,2,50284.2409999371,38.2409999370575,1808.71000003815,-113.9881302,46.8696052,113.9880688
"162",-113.9881302,46.8696052,"2020-08-19T19:58:05.223Z",1597845485.223,2,2,50285.2230000496,0.982000112533569,1809.69200015068,-113.9878839,46.8695531,113.9881302
"163",-113.9878839,46.8695531,"2020-08-19T19:58:26.333Z",1597845506.333,2,2,50306.3329999447,21.1099998950958,1830.80200004578,-113.98755,46.8692449,113.9878839
